"id","Gender","Age","Educ","WDP.Theil","WDP.Gini","WDP.Atkinson"
800,"female","40to49","HigherEduc",0,1,0
801,"male","30to39","Pflichtschule+Lehre",0,NA,0
802,"female","30to39","AHS/BHS",NA,NA,NA
803,"male","16to19","Matura",0,1,0
804,"male","60to69","Matura",1,1,1
805,"female","40to49","Matura",0,0,0
806,"male","20to29","Pflichtschule+Lehre",0,0,0
807,"male","40to49",NA,0,0,0
808,"female","20to29","HigherEduc",1,1,1
809,"male","30to39","HigherEduc",NA,NA,NA
810,"male","30to39","HigherEduc",0,0,0
811,"female","40to49","HigherEduc",0,0,0
812,"female","40to49","HigherEduc",0,0,0
813,"female","20to29","HigherEduc",0,1,0
814,"female","50to59",NA,1,1,1
815,"male","20to29","HigherEduc",1,1,1
816,"female","20to29","HigherEduc",0,0,0
817,"male","16to19","Pflichtschule",0,0,0
818,"male","20to29","Pflichtschule+Lehre",1,1,1
819,"male","20to29","Matura",0,0,0
820,"male","20to29","HigherEduc",0,0,0
821,"female","16to19",NA,1,1,1
822,"male","16to19","Matura",1,1,1
823,"male","60to69","Mittlere Schule",NA,NA,NA
824,"male","20to29","Matura",1,1,1
825,"female","50to59","HigherEduc",1,1,1
826,NA,NA,NA,NA,NA,NA
827,"male","20to29","AHS/BHS",1,1,1
828,"male","50to59","Mittlere Schule",0,0,0
829,"female","60to69","AHS/BHS",1,1,1
830,"female","30to39","HigherEduc",0,0,0
831,"male","30to39","HigherEduc",1,1,1
832,"male","20to29","Matura",0,0,0
833,"female","50to59","Matura",1,1,1
834,"male","30to39","Matura",0,1,0
835,"male","30to39","HigherEduc",1,1,1
836,"female","70+","HigherEduc",1,1,1
837,"male","40to49","HigherEduc",1,1,1
838,"female","50to59","Matura",1,0,1
839,"male","70+","Pflichtschule+Lehre",0,0,0
840,"female","30to39","HigherEduc",1,1,1
841,"male","30to39","HigherEduc",1,1,1
842,"male","20to29","AHS/BHS",1,1,0
843,"male","20to29",NA,0,0,0
844,"male","50to59","HigherEduc",1,1,0
845,"male","60to69","Matura",0,0,0
846,"male","30to39","HigherEduc",0,0,0
847,"female","60to69","Matura",0,0,0
848,"male","20to29","HigherEduc",0,0,0
849,NA,"50to59","Matura",NA,NA,NA
850,"male","50to59",NA,0,0,0
851,"male","40to49","Pflichtschule+Lehre",0,0,0
852,"male","40to49","Matura",1,1,1
853,"female","70+","Mittlere Schule",0,0,0
854,"male","50to59",NA,1,1,1
855,"female","20to29","Matura",1,1,1
856,"female","30to39","HigherEduc",1,1,1
857,"male","16to19","Pflichtschule",1,1,1
858,"female","70+","Pflichtschule+Lehre",1,1,1
859,"male","20to29","Pflichtschule+Lehre",1,1,1
860,NA,NA,NA,NA,NA,NA
861,"female","50to59","Pflichtschule+Lehre",1,1,1
862,"male","60to69","Pflichtschule+Lehre",1,1,1
863,"female","70+","Pflichtschule",1,1,1
864,"female","50to59","AHS/BHS",0,0,0
865,"female","50to59","HigherEduc",1,1,1
866,"female","20to29","HigherEduc",1,1,0
867,"male","20to29","Matura",0,0,0
868,"male","60to69","Matura",1,1,1
869,"female","20to29","HigherEduc",0,0,0
870,"male","30to39","HigherEduc",0,0,0
871,"female","60to69",NA,0,0,0
872,"female","30to39","HigherEduc",1,1,1
873,"male","60to69","HigherEduc",1,1,1
874,"female","50to59","HigherEduc",0,0,0
875,"male","40to49","Pflichtschule+Lehre",0,0,0
876,"female","60to69","Pflichtschule+Lehre",0,0,0
877,"male","40to49","HigherEduc",1,1,1
878,"female","60to69",NA,1,1,1
879,"male","30to39",NA,0,0,0
880,"female","40to49","Matura",0,1,0
881,"female","30to39","HigherEduc",1,1,1
882,"female","20to29","HigherEduc",1,1,1
883,"male","40to49","Matura",1,1,1
884,"female","50to59","Matura",0,0,0
885,"male","60to69","HigherEduc",0,0,0
886,"female","50to59","HigherEduc",0,0,0
887,"male","30to39","HigherEduc",1,1,1
888,"female","30to39","HigherEduc",0,0,0
889,"male","60to69","Pflichtschule+Lehre",1,1,0
890,"female","40to49","HigherEduc",1,1,1
891,"male","30to39","Matura",1,1,1
892,"male","60to69","AHS/BHS",0,1,0
893,"female","20to29","Matura",1,1,1
894,"female","20to29","Matura",1,1,1
895,"diverse","50to59",NA,0,0,0
896,"male","60to69","Mittlere Schule",1,1,1
897,"male","60to69","Pflichtschule+Lehre",0,0,0
898,"male","30to39","HigherEduc",1,1,1
899,"male","40to49","HigherEduc",1,0,1
900,NA,"70+","Matura",1,0,1
901,"male","60to69","Mittlere Schule",0,0,0
902,"female","40to49","HigherEduc",0,0,0
903,"male","50to59","Pflichtschule+Lehre",1,1,1
904,"female","40to49","Pflichtschule+Lehre",1,1,1
905,"male","60to69","Mittlere Schule",0,NA,0
906,"female","30to39","HigherEduc",0,0,0
907,"male","20to29","Pflichtschule+Lehre",0,0,0
908,"female","20to29","AHS/BHS",0,0,0
909,"female","20to29","Matura",1,1,1
910,"male","16to19","Matura",1,1,1
911,"male","40to49","HigherEduc",1,1,1
912,"female","60to69","HigherEduc",0,0,0
913,"female","50to59","HigherEduc",0,0,0
914,"male","50to59","Matura",0,0,0
915,"female","50to59","Matura",0,0,0
916,"male","70+","HigherEduc",0,0,0
917,"male","16to19","Pflichtschule",1,1,1
918,"male","40to49","Pflichtschule",1,1,1
919,"male","60to69","Mittlere Schule",0,1,0
920,"female","30to39","Matura",0,0,0
921,"male","30to39","Pflichtschule+Lehre",1,1,1
922,"female","30to39","HigherEduc",1,1,1
923,"female","20to29","AHS/BHS",0,0,0
924,"male","30to39","HigherEduc",0,0,0
925,"male","16to19","Matura",1,1,1
926,"female","40to49","HigherEduc",0,0,0
927,"female","16to19","Matura",1,1,1
928,"female","40to49","AHS/BHS",0,0,0
929,"female","30to39","HigherEduc",1,1,1
930,"male","60to69",NA,0,0,0
931,"female","70+","Pflichtschule+Lehre",0,NA,0
932,"male","50to59","HigherEduc",1,1,1
933,"female","30to39","Matura",1,1,1
934,"female","50to59","HigherEduc",1,1,1
935,"female","70+","Mittlere Schule",0,0,0
936,"female","60to69","Matura",0,0,0
937,"female","30to39","Matura",0,0,0
