"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
229,"F",5,1,0,0,0,0,0,1,0
230,"F",2,6,0,1,0,1,1,0,0
231,"M",6,1,NA,NA,NA,0,0,0,1
232,NA,NA,4,NA,NA,NA,0,0,NA,NA
233,"M",7,1,NA,NA,NA,0,0,NA,NA
234,"F",2,6,1,1,1,1,0,0,1
235,"M",3,6,1,1,1,0,0,0,1
236,"F",7,NA,NA,NA,NA,0,0,NA,NA
237,"M",3,5,0,0,0,1,0,0,1
238,"F",4,2,1,1,1,1,1,1,1
239,"F",7,NA,NA,NA,NA,0,0,NA,NA
240,"F",6,4,0,0,0,0,0,0,0
241,"F",1,5,1,1,1,0,0,0,1
242,"M",2,2,0,0,0,0,0,0,0
243,"F",2,5,0,1,0,0,0,0,0
244,"F",2,5,0,0,0,1,0,0,0
245,"F",2,5,1,1,1,1,1,0,0
246,"F",4,5,1,1,1,1,0,0,0
247,"M",3,6,1,1,1,1,0,0,1
248,"M",6,6,0,0,0,0,0,0,0
249,"M",6,6,0,NA,0,0,0,0,0
250,"F",5,6,1,0,1,1,1,0,0
251,"M",1,2,0,1,0,1,1,0,0
252,"M",4,2,0,0,0,1,1,0,0
253,"M",1,5,0,0,0,1,0,0,0
254,"F",6,6,1,1,1,0,0,0,0
255,"M",2,6,1,1,1,0,0,0,0
256,"M",4,2,1,0,0,1,0,0,0
257,"M",2,6,0,0,0,1,0,0,0
258,"M",5,5,1,1,1,0,0,0,0
259,"F",3,6,1,1,1,0,0,0,0
260,"M",3,6,1,0,0,1,0,0,1
261,"M",7,5,0,0,0,0,0,0,0
262,"M",2,2,0,0,0,1,0,0,0
263,"F",4,5,1,1,1,1,1,0,0
264,"M",NA,2,0,0,0,1,0,0,1
265,"M",6,5,0,0,0,0,0,0,0
266,"F",2,3,NA,NA,NA,0,0,1,NA
267,"M",3,2,1,1,1,1,1,1,0
268,"F",7,2,0,0,0,1,1,0,0
269,"M",2,6,1,1,1,0,0,0,0
270,NA,NA,4,NA,NA,NA,0,0,NA,NA
271,"M",3,5,0,0,0,0,0,NA,1
272,"F",7,5,0,0,0,1,0,0,0
273,"M",2,2,0,0,0,1,0,0,1
274,"F",6,2,1,1,1,1,0,0,0
275,"F",7,2,0,0,0,0,0,NA,0
276,"F",6,2,NA,NA,NA,0,0,NA,NA
277,"M",2,4,NA,NA,NA,0,0,NA,NA
278,"M",4,3,0,0,0,0,0,0,0
279,"F",7,2,0,NA,0,0,0,NA,NA
280,"M",5,2,1,1,1,1,0,0,0
281,"F",3,6,1,1,1,1,0,0,1
282,"F",2,5,0,0,0,1,1,0,0
283,"M",3,2,0,0,0,1,1,0,0
284,"F",5,5,0,0,0,0,0,0,1
285,"F",3,6,0,0,0,1,0,0,0
286,"M",3,6,0,0,0,0,0,0,0
287,"F",6,NA,NA,NA,NA,0,0,NA,NA
288,"F",5,NA,NA,NA,NA,0,0,1,NA
289,NA,2,5,1,1,1,1,1,0,0
290,"M",4,5,1,1,1,0,0,0,0
291,"M",2,6,1,1,1,0,0,0,0
292,"M",3,2,1,1,1,1,1,1,1
293,"F",6,3,0,0,0,1,0,0,0
294,NA,4,6,0,0,0,1,0,0,1
295,"M",6,1,0,0,0,1,0,0,0
296,NA,2,6,0,0,0,0,0,0,0
297,"M",2,6,1,1,1,1,1,0,0
298,"F",5,3,0,0,0,1,1,0,1
299,NA,NA,6,1,1,1,1,1,0,1
300,"M",4,NA,1,1,1,1,0,0,0
301,"M",2,5,1,1,1,1,1,0,0
302,"F",5,6,0,NA,0,0,0,NA,1
303,"M",6,3,0,0,0,1,1,0,1
