"id","Gender","Age","studies","WDP.Theil","WDP.Gini","WDP.Atkinson"
394,"f","18-29","secondaire",1,1,1
395,"h","18-29","superieur",1,1,1
396,"h","18-29","superieur",0,0,0
397,"h","18-29","superieur",1,1,1
401,"h","18-29","superieur",0,0,0
404,"h","18-29","superieur",1,1,1
405,"f","18-29","superieur",1,1,1
406,"h","30-39","superieur",0,0,0
410,"h","18-29","superieur",1,1,1
411,"f","30-39","superieur",0,0,0
412,"h","+70","superieur",1,0,1
413,"h","18-29","superieur",0,0,0
414,"h","18-29","superieur",1,0,1
416,"h","18-29","superieur",1,1,1
421,"h","18-29","superieur",0,0,0
422,"h","40-49","superieur",1,1,1
426,"h","18-29","superieur",1,1,1
427,"h","60-69","superieur",0,0,0
431,"f","30-39","superieur",0,0,0
432,"f","30-39","secondaire",0,NA,0
433,"h","18-29","superieur",0,0,0
437,"h","18-29","superieur",1,1,1
439,"h","40-49","nspp",1,1,1
441,"f","30-39","superieur",1,1,1
442,"h","40-49","superieur",1,1,1
446,"h","30-39","superieur",0,0,0
450,"h","18-29","superieur",0,0,0
455,"f","18-29","superieur",0,0,0
456,"h","40-49","superieur",0,0,0
457,"f","18-29","superieur",1,0,1
462,"","","",1,0,1
465,"f","18-29","superieur",0,0,0
470,"f","18-29","superieur",1,0,0
472,"f","50-59","superieur",0,0,0
474,"h","30-39","superieur",1,1,1
475,"f","18-29","superieur",0,0,0
476,"f","30-39","superieur",1,0,1
479,"nspp","18-29","superieur",0,0,0
482,"f","30-39","superieur",1,1,1
485,"h","18-29","superieur",1,1,1
487,"f","30-39","superieur",0,0,0
488,"h","30-39","superieur",1,1,1
489,"h","30-39","superieur",1,1,1
491,"h","40-49","superieur",1,0,0
492,"h","30-39","superieur",1,1,1
494,"h","40-49","superieur",1,1,1
495,"h","30-39","superieur",1,0,1
496,"f","40-49","superieur",1,1,1
497,"h","30-39","superieur",1,1,1
498,"f","18-29","superieur",0,0,0
500,"h","18-29","superieur",0,0,0
502,"f","30-39","superieur",1,1,1
503,"f","30-39","superieur",0,0,0
505,"h","30-39","superieur",0,0,0
508,"f","50-59","superieur",1,0,1
510,"f","60-69","superieur",1,1,1
511,"h","18-29","superieur",0,NA,0
512,"h","30-39","superieur",1,0,1
513,"f","60-69","superieur",1,1,1
517,"h","18-29","superieur",1,1,1
519,"","","",0,0,0
520,"f","40-49","superieur",1,1,1
522,"h","30-39","superieur",0,0,0
524,"f","18-29","superieur",1,1,1
528,"h","30-39","superieur",0,0,0
529,"f","18-29","superieur",0,NA,0
530,"h","30-39","superieur",0,0,0
531,"h","30-39","superieur",1,1,1
533,"h","18-29","superieur",1,1,1
534,"h","18-29","superieur",1,1,1
537,"h","40-49","superieur",0,0,0
538,"f","50-59","superieur",1,1,1
539,"h","40-49","superieur",1,1,1
540,"h","30-39","superieur",1,1,1
541,"h","18-29","superieur",1,1,1
542,"h","40-49","superieur",1,1,1
543,"h","30-39","superieur",1,0,1
544,"f","30-39","superieur",1,1,1
545,"h","30-39","superieur",1,0,1
546,"h","40-49","superieur",1,1,1
547,"h","18-29","superieur",1,1,1
549,"h","18-29","superieur",1,0,1
554,"h","40-49","superieur",1,1,1
555,"f","18-29","superieur",1,1,1
561,"f","18-29","superieur",1,1,1
562,"h","18-29","superieur",1,1,1
563,"f","40-49","superieur",0,0,0
564,"h","18-29","superieur",1,1,1
566,"f","18-29","superieur",1,1,1
568,"h","40-49","superieur",0,0,0
573,"h","30-39","superieur",1,1,1
574,"h","18-29","secondaire",0,NA,0
575,"f","18-29","superieur",0,0,0
576,"h","30-39","superieur",1,1,1
578,"f","18-29","superieur",1,1,1
580,"h","40-49","superieur",1,1,1
581,"f","18-29","superieur",0,0,0
583,"h","50-59","superieur",1,1,1
584,"f","18-29","superieur",1,1,1
585,"f","50-59","superieur",1,1,1
586,"f","18-29","superieur",1,0,1
587,"h","30-39","superieur",0,0,0
588,"f","50-59","superieur",1,1,1
589,"f","50-59","superieur",0,0,0
590,"h","30-39","superieur",1,0,1
591,"h","50-59","superieur",1,1,1
592,"h","18-29","superieur",1,1,1
593,"h","18-29","superieur",1,1,1
595,"f","18-29","superieur",1,1,1
596,"h","30-39","superieur",1,1,1
597,"f","30-39","superieur",1,1,1
598,"f","50-59","superieur",0,0,0
599,"f","18-29","superieur",1,1,1
601,"h","40-49","superieur",1,1,1
