"id","GENDER","AGE","EDUC","WDP.Theil","WDP.Gini","WDP.Atkinson"
876," F","40"," S",1,1,1
877," M","18","2",1,1,1
878," F","70"," S",1,1,1
879," M","50"," S",1,1,1
880," M","60"," S",0,0,0
881," M","40"," S",1,1,1
882," M","70"," S",1,1,1
883," F","30"," S",0,NA,0
884," F","30"," S",1,1,1
885," F","40"," S",0,0,0
886," F","30"," S",0,0,0
887," M","18"," S",1,1,1
888," F","30"," S",0,0,0
889,NA,"60","2",1,0,1
890," M","40"," S",1,1,1
891," F","30"," S",1,1,1
892," F","18"," S",1,1,1
893," M","60"," S",1,0,1
894," M","40"," S",1,1,1
895," M","70"," S",0,0,0
896," F","70"," S",1,0,1
897," M","30"," S",1,1,1
898," M","70"," S",1,1,1
899," F","50"," S",1,1,1
900," M","50"," S",1,1,1
901," F","30"," S",1,1,1
902," F","40"," S",0,0,0
903," F","30"," S",1,1,1
904," F","60"," S",1,1,1
905," M","18"," S",1,0,1
906," M","40"," S",1,1,1
907," M","70"," S",1,1,1
908," M","60"," S",0,NA,0
909," M","18"," S",1,0,1
910," M","40"," S",1,1,1
911," M","70","2",0,NA,0
912," F","60","2",1,1,1
913," M","30"," S",0,0,0
914," F","40"," S",1,1,1
915," M","18"," S",1,1,1
916," F","60"," S",1,1,1
917," F","50","2",1,0,1
918," F","18"," S",0,0,0
