"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
393," M",2,3,1,1,1,0,0,0,0
394," F",3,3,1,1,0,0,0,0,0
395," F",5,2,0,0,0,1,1,0,1
396," M",1,3,1,1,1,0,0,0,0
397," M",2,3,1,1,1,1,1,0,1
398," M",3,3,1,1,1,1,1,0,1
399," M",2,3,1,1,1,0,0,0,0
400," M",1,3,1,1,1,1,0,0,1
401," M",4,3,1,1,1,0,0,0,0
402," M",1,3,1,0,0,1,0,0,1
403," M",1,3,1,1,1,0,0,0,1
404," F",6,3,0,0,0,1,1,0,0
405," M",1,3,1,1,1,1,1,0,1
406," F",3,3,1,1,1,0,0,0,0
407," F",1,3,1,0,1,0,0,0,1
408," F",5,2,0,0,0,0,0,0,1
409," F",6,3,1,1,1,0,0,0,0
410," F",3,3,0,0,0,0,0,0,0
411," F",5,3,1,1,1,1,0,0,1
412," F",1,3,1,1,1,1,1,0,0
413," F",6,3,1,0,0,0,0,0,1
414," F",5,3,1,1,1,1,1,0,0
415," F",2,3,0,0,0,1,1,0,0
416," F",3,3,0,NA,0,0,0,0,1
417," M",6,3,1,1,1,1,1,0,0
418," F",6,2,0,0,0,0,0,0,1
419," F",4,3,1,1,1,1,0,0,0
420," M",1,3,1,1,1,0,0,0,0
421," F",4,3,1,1,1,1,1,1,0
422," F",5,3,1,1,1,0,0,0,0
423," M",3,3,1,0,1,0,0,0,1
424," M",5,3,1,1,1,0,0,0,0
425," M",2,3,1,1,1,1,1,0,1
426," M",6,3,1,1,1,1,0,0,0
427," M",3,3,1,1,1,1,1,0,0
428," M",5,3,1,1,1,1,1,0,0
429," F",4,3,0,0,0,1,1,0,0
430," F",4,3,0,0,0,0,0,0,0
431," M",3,3,1,1,1,0,0,0,1
432," M",3,3,1,1,1,1,1,0,1
433," M",2,3,1,1,1,1,1,0,0
434," F",1,3,1,1,1,0,0,0,1
435," F",2,3,1,1,1,0,0,0,1
436," M",2,3,1,1,1,1,1,0,1
437," F",4,3,1,1,1,1,1,0,0
438," F",5,3,1,1,1,1,0,0,0
439," F",5,3,1,1,1,1,0,0,1
440," M",5,3,1,1,1,1,1,0,0
441," F",2,3,0,0,0,1,1,0,0
442," F",6,2,NA,NA,NA,0,0,0,0
443," F",3,3,1,1,1,1,1,0,1
444," M",4,3,1,1,1,1,1,0,0
445," F",5,2,1,1,1,1,0,0,0
446," F",5,3,1,0,0,0,0,0,0
447,NA,5,3,0,NA,0,0,0,0,0
448," M",2,3,1,1,1,0,0,0,0
449," F",5,3,1,1,1,0,0,1,0
450," F",2,2,0,0,0,1,1,0,1
451," M",2,3,0,0,0,0,0,0,0
452," M",2,3,0,NA,0,0,0,0,0
453," F",5,3,0,0,0,1,1,0,0
454," M",2,3,1,1,1,0,0,0,1
455," F",4,3,1,1,1,1,1,0,0
456," F",6,3,1,0,1,1,1,0,0
457," F",3,3,1,1,1,0,0,0,0
458," M",1,3,1,0,1,1,1,0,0
459," M",3,3,1,1,1,1,1,0,0
460," F",6,3,0,0,0,0,0,0,0
461," M",2,3,1,1,1,0,0,0,1
462," M",6,3,1,1,1,1,1,0,0
463," M",6,3,1,1,1,1,0,0,0
464," F",3,3,1,1,1,0,0,0,0
465," M",4,3,1,1,1,1,1,0,0
466," F",2,3,1,1,1,1,0,0,1
467," M",2,3,1,1,1,1,1,0,1
468," M",2,3,1,1,1,0,0,0,1
469," M",4,3,1,1,1,1,1,0,0
470," M",2,3,0,NA,0,0,0,0,1
471," F",5,3,1,1,1,0,0,0,0
472," M",6,3,0,0,0,1,0,0,0
473," M",6,3,1,1,1,0,0,0,0
474," M",3,3,1,1,1,0,0,0,0
475," F",6,3,0,0,0,0,0,0,0
476," F",2,3,0,0,0,1,0,0,1
477," M",4,3,1,0,1,1,0,0,0
478," M",6,3,1,1,1,1,1,0,0
479," M",6,2,1,0,1,1,1,0,0
480," F",2,3,1,1,1,0,0,1,0
481," M",1,3,0,0,0,1,0,0,1
482," F",1,3,1,1,1,1,1,0,1
483," F",4,3,1,1,1,0,0,0,1
484," F",3,3,1,1,1,1,1,0,1
485," F",1,3,1,1,1,0,0,0,0
486," M",2,3,0,0,0,1,1,0,0
487," F",5,3,1,1,1,1,1,0,0
488," F",4,3,1,0,0,1,0,0,0
489," M",3,3,1,1,1,0,0,0,0
490," M",5,3,1,0,1,1,0,0,0
491," F",3,3,0,0,0,0,0,0,0
492," M",1,3,0,0,0,1,0,0,1
493," F",5,3,0,NA,0,0,0,0,1
494," M",4,3,1,1,1,0,0,0,1
495," F",4,2,1,1,1,1,0,0,1
496," F",5,3,1,1,1,1,1,0,0
497," F",2,3,0,NA,0,0,0,0,0
498," M",6,3,0,0,0,1,1,0,1
499," M",2,3,1,1,1,1,1,0,1
500," F",1,3,1,1,1,0,0,0,0
501," M",5,3,1,1,1,0,0,0,1
502," M",2,3,0,NA,0,0,0,0,0
503," M",6,3,0,0,0,1,1,0,0
504," M",2,3,1,1,1,0,0,0,1
505," M",1,3,1,1,1,1,1,0,0
506," M",1,3,1,1,1,0,0,0,0
507," M",5,3,1,1,1,0,0,1,0
508," F",1,2,0,0,0,0,0,0,0
509," M",1,3,1,1,1,1,1,0,1
510," M",1,3,1,1,1,0,0,0,1
511," F",6,3,1,1,1,0,0,0,0
512," F",1,3,1,1,1,1,1,0,0
513," M",4,3,1,1,1,1,0,0,0
514," M",6,2,0,NA,0,0,0,0,0
515," M",1,3,1,1,1,1,1,1,0
516," F",6,3,1,1,1,0,0,0,1
517," M",2,3,1,1,1,1,1,0,0
518," F",5,3,0,0,0,0,0,0,1
519," M",2,3,1,0,1,1,0,0,0
520," F",5,3,1,1,1,0,0,0,0
521," F",3,3,1,1,1,1,0,0,0
522," M",1,3,1,1,1,0,0,0,0
523," F",5,3,1,1,1,1,1,0,0
524," M",2,3,0,NA,0,0,0,0,0
525," F",2,3,1,1,1,1,1,0,0
526," F",5,2,1,1,1,0,0,0,0
527," F",2,3,0,0,0,0,0,0,0
528," M",1,3,1,1,1,0,0,0,1
529," M",1,3,1,1,1,1,1,0,0
530," F",1,3,1,1,1,0,0,0,0
531," F",6,3,1,1,1,0,0,0,1
532," M",2,3,0,0,0,1,1,0,0
533," M",6,3,1,1,1,1,1,0,1
534," F",2,3,0,0,0,1,1,0,0
535," F",1,3,0,NA,0,0,0,0,0
536," F",6,3,1,1,1,1,1,0,0
537," F",5,3,1,1,1,0,0,0,0
538," F",4,3,0,0,0,0,0,0,1
539," F",1,3,1,1,1,0,0,0,0
540," M",6,3,1,1,1,0,0,0,0
541," F",4,3,0,NA,0,0,0,0,1
542," M",2,3,0,NA,0,0,0,0,0
543," M",6,3,1,1,1,1,1,0,0
544," F",2,3,1,1,1,1,1,0,0
545," M",1,3,1,1,1,1,0,0,0
546," M",6,3,1,1,1,0,0,0,1
547," M",2,3,1,1,1,0,0,0,0
548," F",2,3,0,0,0,1,1,0,0
549," F",6,3,1,1,1,1,1,0,0
550," F",4,3,1,1,1,1,1,0,0
551," M",3,3,0,NA,0,0,0,0,0
552," F",2,3,1,0,0,0,0,0,0
553," F",5,3,1,1,1,0,0,0,0
554," F",4,3,1,1,1,0,0,0,1
555," M",6,3,1,1,1,1,1,0,0
556," F",6,3,1,1,1,0,0,0,0
557," M",6,3,0,0,0,1,0,0,0
558," F",1,1,1,0,1,1,0,0,0
559," M",5,3,0,0,0,1,1,0,0
560," F",2,3,0,NA,0,0,0,0,0
561," M",4,3,1,1,1,0,0,0,0
562," M",6,3,0,0,0,0,0,0,0
563," F",6,3,1,1,1,1,1,0,0
564," F",3,3,1,0,0,0,0,0,1
565," F",6,3,1,1,1,0,0,0,0
566," F",2,3,1,0,1,0,0,0,0
567," F",4,3,0,0,0,0,0,0,0
568," M",1,3,0,0,0,0,0,0,1
569," F",6,3,0,0,0,0,0,0,0
570," M",3,3,1,1,1,0,0,0,0
571," F",2,3,1,0,1,0,0,0,1
572," F",4,2,0,0,0,0,0,0,0
573," F",4,3,1,1,1,0,0,0,0
574," M",1,2,1,1,1,0,0,0,1
575," F",6,3,0,0,0,0,0,0,0
576," M",1,3,1,0,1,0,0,0,1
577," M",3,3,1,1,1,1,1,0,1
578," F",5,3,0,NA,0,0,0,0,0
579," F",6,2,1,1,1,1,1,0,0
580," M",1,3,1,1,1,0,0,0,0
581," M",1,3,0,0,0,0,0,1,0
582," F",2,3,1,0,0,0,0,0,1
583," F",3,3,1,0,0,1,0,0,0
584," M",4,3,1,1,1,0,0,0,0
585," F",6,3,1,1,1,0,0,0,0
586," F",6,3,NA,NA,NA,0,0,0,0
587," M",1,3,1,1,1,1,1,0,0
