"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
343,"M",3,3,0,0,0,0,0,0,0
345,"M",2,3,1,1,1,0,0,0,1
347,"M",2,3,1,1,1,0,0,0,1
349,"M",3,3,1,1,1,1,0,0,0
350,"F",3,3,0,0,0,1,0,0,1
351,"F",4,3,0,0,0,1,1,0,0
352,"M",2,3,1,1,1,1,1,0,1
353,"M",2,3,0,0,0,1,1,0,0
354,"M",2,3,1,0,1,0,0,0,1
355,"M",3,3,1,1,1,1,0,0,0
357,"M",4,3,1,1,1,0,0,0,1
358,"M",4,3,1,1,1,0,0,0,0
361,"M",3,3,0,0,0,0,0,0,0
364,"M",4,3,0,0,0,1,1,0,1
365,"M",2,3,1,0,1,0,0,0,1
366,NA,2,3,1,1,1,0,0,0,1
367,"M",3,3,1,0,1,0,0,0,0
368,"F",4,3,0,0,0,0,0,0,1
369,"F",2,3,1,1,1,0,0,0,0
372,"M",3,3,1,1,0,1,1,0,1
373,"M",2,3,1,1,1,0,0,0,1
375,"M",2,3,1,1,1,0,0,0,1
376,"M",4,3,1,1,0,0,0,0,1
377,"F",5,3,0,0,0,0,0,0,0
378,"M",3,3,1,1,1,0,0,0,1
379,"F",2,3,1,1,1,0,0,0,0
381,"M",2,3,0,0,0,1,0,0,1
386,"M",2,2,1,1,1,1,1,0,1
387,"F",2,3,1,1,1,1,1,0,1
388,"M",4,3,1,1,1,1,0,0,0
390,"M",3,3,1,0,1,1,0,0,0
391,"M",3,3,1,1,1,1,1,0,1
392,"M",2,3,1,1,1,0,0,0,1
393,"F",3,3,0,0,0,1,1,0,1
394,"F",2,2,1,1,1,0,0,0,0
395,"M",2,3,1,1,1,0,0,0,0
396,"M",2,3,0,0,0,1,1,0,1
397,"M",2,3,1,1,1,1,1,0,1
401,"M",2,3,0,0,0,1,1,1,0
404,"M",2,3,1,1,1,1,1,0,0
405,"F",2,3,1,1,1,0,0,0,1
406,"M",3,3,0,0,0,0,0,0,0
410,"M",2,3,1,1,1,0,0,0,1
411,"F",3,3,0,0,0,1,0,0,1
412,"M",7,3,1,0,1,0,0,0,0
413,"M",2,3,0,0,0,0,0,0,1
414,"M",2,3,1,0,1,1,0,0,1
416,"M",2,3,1,1,1,0,0,0,1
421,"M",2,3,0,0,0,0,0,0,0
422,"M",4,3,1,1,1,1,1,0,1
426,"M",2,3,1,1,1,0,0,0,1
427,"M",6,3,0,0,0,0,0,0,0
431,"F",3,3,0,0,0,0,0,0,0
432,"F",3,2,0,NA,0,1,1,0,0
433,"M",2,3,0,0,0,1,1,0,1
437,"M",2,3,1,1,1,1,1,0,1
439,"M",4,NA,1,1,1,0,0,0,1
441,"F",3,3,1,1,1,0,0,0,1
442,"M",4,3,1,1,1,0,0,0,1
446,"M",3,3,0,0,0,0,0,0,1
450,"M",2,3,0,0,0,0,0,0,0
455,"F",2,3,0,0,0,1,0,0,1
456,"M",4,3,0,0,0,0,0,0,0
457,"F",2,3,1,0,1,0,0,0,0
462,NA,NA,NA,1,0,1,0,0,0,0
465,"F",2,3,0,0,0,1,1,0,0
470,"F",2,3,1,0,0,0,0,0,0
472,"F",5,3,0,0,0,1,1,0,1
474,"M",3,3,1,1,1,1,1,0,1
475,"F",2,3,0,0,0,1,0,0,0
476,"F",3,3,1,0,1,0,0,0,1
479,NA,2,3,0,0,0,1,0,0,0
482,"F",3,3,1,1,1,0,0,0,1
485,"M",2,3,1,1,1,1,1,0,1
487,"F",3,3,0,0,0,0,0,0,0
488,"M",3,3,1,1,1,0,0,0,1
489,"M",3,3,1,1,1,1,1,0,0
491,"M",4,3,1,0,0,0,0,0,1
492,"M",3,3,1,1,1,1,0,0,0
494,"M",4,3,1,1,1,1,1,0,0
