"id","avg.match","optk2","phi.value","AGE","GENDER","EDUC","WORK","Educ.lvl"
913,0.818181818181818,"k=2",0.52,"30"," M"," S"," ART",3
915,1,"k=2",1,"18"," M"," S"," ETU",3
916,1,"k=2",1,"60"," F"," S"," PUB",3
918,0.727272727272727,"k=2",0.42,"18"," F"," S"," PRI",3
919,1,"k=2",1,"70"," M"," S"," RET",3
921,0.636363636363636,"k=2",0.43,"18"," F"," S"," PRI",3
923,1,"k=2",1,"60"," F"," S"," RET",3
924,1,"k=2+",1,"18"," M"," S"," PRI",3
925,0.909090909090909,"k=2",0.81,"18"," M"," S"," PRI",3
927,0.727272727272727,"k=2+",0.56,"30"," M"," S"," CHO",3
928,0.909090909090909,"k=2+",0.83,"18"," F"," S"," PRI",3
931,1,"k=2+",1,"18"," M"," S"," ETU",3
932,0.909090909090909,"k=2",0.67,"30"," F"," S"," ART",3
934,1,"k=2+",1,"30"," F"," S"," ART",3
937,0.636363636363636,"k=2+",0.43,"30"," F"," S"," PUB",3
938,0.545454545454545,"k=2+",0.36,"18"," F"," S"," PRI",3
939,0.454545454545455,"k=2+",0.29,"50"," F"," S"," ART",3
940,0.909090909090909,"k=2+",0.83,"70"," M"," S"," RET",3
942,0.909090909090909,"k=2+",0.77,"60"," M"," S"," ART",3
943,0.363636363636364,"k=2+",0.22,"18"," M"," S"," PUB",3
944,1,"k=2",1,"40"," M"," S"," ART",3
945,0.909090909090909,"k=2",0.77,"30"," M"," S"," PRI",3
946,0.818181818181818,"k=2",0.62,"60"," M"," S"," RET",3
948,0.545454545454545,"k=2+",0.36,"18"," F"," S"," PUB",3
949,1,"k=2",1,"30"," F"," S"," PRI",3
950,0.727272727272727,"k=2+",0.52,"30"," F"," S"," PUB",3
952,1,"k=2",1,"40"," M"," S"," PRI",3
953,0.909090909090909,"k=2",0.67,"40"," M"," S"," PUB",3
954,1,"k=2",1,"40"," F"," S"," PUB",3
955,1,"k=2",1,"18"," M"," S"," PRI",3
958,1,"k=2",1,"30"," M"," S"," PUB",3
960,0.454545454545455,"k=2+",0.29,"18"," M"," S"," PRI",3
961,0.818181818181818,"k=2",0.67,"18",NA," S"," ETU",3
962,0.909090909090909,"k=2",0.83,"50"," M"," S"," PUB",3
963,1,"k=2",1,"60"," F"," S"," PRI",3
964,0.636363636363636,"k=2+",0.46,"70"," F"," S"," RET",3
965,0.636363636363636,"k=2",0.46,"18"," M","2"," ETU",2
967,1,"k=2",1,"30"," F"," S"," AUT",3
968,0.818181818181818,"k=2+",0.67,"50"," F"," S"," PUB",3
969,0.0909090909090909,"k=2+",-0.67,"40"," M","2"," ART",2
970,0.818181818181818,"k=2",0.62,"18"," M"," S"," ETU",3
971,0.909090909090909,"k=2+",0.81,"18"," M"," S"," PRI",3
972,0.636363636363636,"k=2",0.35,"40"," F"," S"," PUB",3
973,0.454545454545455,"k=2+",0.29,"70"," F"," S"," ART",3
974,0.636363636363636,"k=2+",0.43,"50"," M"," S"," PRI",3
975,0.909090909090909,"k=2+",0.83,"40"," F"," S"," PUB",3
976,1,"k=2",1,"40"," M"," S"," PUB",3
979,0.818181818181818,"k=2+",0.67,"18"," M"," S"," ETU",3
980,0.909090909090909,"k=2",0.77,"50"," F"," S"," PUB",3
981,1,"k=2",1,"50"," F"," S"," PUB",3
982,1,"k=2+",1,"18"," M"," S"," PRI",3
985,0.818181818181818,"k=2+",0.67,"30"," F"," S"," CHO",3
986,1,"k=2",1,"30"," M"," S"," PRI",3
987,0.909090909090909,"k=2+",0.77,"18"," F"," S"," ETU",3
988,0.545454545454545,"k=2+",0.38,"40"," F"," S"," CHO",3
990,0.636363636363636,"k=2+",0.46,"30"," F"," S"," PRI",3
991,0.727272727272727,"k=2+",NA,"60"," F","2"," RET",2
993,1,"k=2",1,"70"," M","2"," RET",2
996,0.727272727272727,"k=2+",0.56,"18"," M"," S"," PRI",3
997,0.727272727272727,"k=2",0.52,"40"," M"," S"," PRI",3
999,0.818181818181818,"k=2+",0.69,"18"," F"," S"," PUB",3
1000,0.909090909090909,"k=2",0.81,"30"," M"," S"," PUB",3
1001,0.454545454545455,"k=2+",0.29,"30"," F"," S"," PUB",3
1003,0.818181818181818,"k=2+",0.62,"18"," F"," S"," ETU",3
1004,0.818181818181818,"k=2+",0.67,"40"," M"," S"," PUB",3
1005,1,"k=2",1,"40"," M"," S"," PRI",3
1008,0.818181818181818,"k=2",0.67,"30"," M"," S"," PUB",3
1011,0.272727272727273,"k=2",0.15,"40"," M"," S"," PRI",3
1012,1,"k=2+",1,"30"," M"," S"," PUB",3
1014,1,"k=2",1,"70"," F"," S"," AUT",3
1016,1,"k=2",1,"50"," M","2"," PUB",2
1017,1,"k=2",1,"18"," M"," S"," ETU",3
1018,1,"k=2",1,"30"," F"," S"," PRI",3
1019,0.909090909090909,"k=2",0.83,"50"," F"," S"," PUB",3
1020,0.727272727272727,"k=2",0.52,"60"," M"," S"," RET",3
1021,1,"k=2",1,"50",NA,"2"," PRI",2
1022,0.909090909090909,"k=2+",0.77,"50"," M"," S",NA,3
1023,1,"k=2",1,"60"," M"," S"," PUB",3
1024,0.727272727272727,"k=2",0.42,"60"," F"," S",NA,3
1026,0.454545454545455,"k=2+",0.29,"60"," F"," S"," RET",3
1027,0.545454545454545,"k=2",0.38,"70"," F","1"," RET",1
1028,0.454545454545455,"k=2",0.29,"60"," F"," S"," PRI",3
1031,0.363636363636364,"k=2",0.19,"18"," M"," S"," ETU",3
1033,0.545454545454545,"k=2",0.36,"18"," M"," S"," ART",3
1035,0.909090909090909,"k=2+",0.67,"50"," M"," S"," PUB",3
1036,0.909090909090909,"k=2",0.81,"18"," F"," S"," ART",3
1037,0.727272727272727,"k=2",0.52,"30"," F"," S"," PUB",3
1038,0.909090909090909,"k=2",0.67,"30"," F"," S"," ART",3
1041,0.363636363636364,"k=2",0.19,"70"," M"," S"," RET",3
1042,0.636363636363636,"k=2",0.43,"40"," M"," S"," PUB",3
1043,0.454545454545455,"k=2",0.24,"18"," F"," S"," PRI",3
1046,0.454545454545455,"k=2+",0.24,"40"," F"," S"," PUB",3
1048,0.818181818181818,"k=2",0.67,"30"," M","2"," PUB",2
1050,0.727272727272727,"k=2+",0.52,"40"," F"," S"," PRI",3
1051,0.818181818181818,"k=2",0.69,"60"," M"," S"," PRI",3
1053,0.818181818181818,"k=2+",0.67,"50"," M"," S"," PRI",3
1055,0.909090909090909,"k=2+",0.81,"18"," M"," S"," ETU",3
1058,1,"k=2",1,"18"," F"," S"," ETU",3
1059,1,"k=2+",1,"50"," F"," S"," PUB",3
1061,0.545454545454545,"k=2",NA,"40"," M"," S"," PUB",3
1066,0.818181818181818,"k=2",0.69,"70"," F","2"," RET",2
1067,0.909090909090909,"k=2",0.81,"60"," F"," S"," ART",3
1068,0.818181818181818,"k=2+",0.69,"70"," F"," S"," PUB",3
